station_name,depth,lat,lon,sensor,station_code
"Bermuda, St. Georges Island, Bermuda",,32.3734,-64.7033,urn:ioos:sensor:NOAA.NOS.CO-OPS:2695540:C1,2695540
"Kiptopeke, VA",,37.1652,-75.9884,urn:ioos:sensor:NOAA.NOS.CO-OPS:8632200:C1,8632200
"Yorktown USCG Training Center, VA",,37.2265,-76.4788,urn:ioos:sensor:NOAA.NOS.CO-OPS:8637689:C1,8637689
"Cape Henry, VA",,36.93,-76.0067,urn:ioos:sensor:NOAA.NOS.CO-OPS:8638999:C1,8638999
"Duck, NC",,36.1833,-75.7467,urn:ioos:sensor:NOAA.NOS.CO-OPS:8651370:C1,8651370
"Oregon Inlet Marina, NC",,35.795,-75.5481,urn:ioos:sensor:NOAA.NOS.CO-OPS:8652587:C1,8652587
"USCG Station Hatteras, NC",,35.2086,-75.7042,urn:ioos:sensor:NOAA.NOS.CO-OPS:8654467:C1,8654467
"Beaufort, Duke Marine Lab, NC",,34.72,-76.67,urn:ioos:sensor:NOAA.NOS.CO-OPS:8656483:C1,8656483
"Wrightsville Beach, NC",,34.2133,-77.7867,urn:ioos:sensor:NOAA.NOS.CO-OPS:8658163:C1,8658163
"Springmaid Pier, SC",,33.655,-78.9183,urn:ioos:sensor:NOAA.NOS.CO-OPS:8661070:C1,8661070
"Fort Pulaski, GA",,32.0367,-80.9017,urn:ioos:sensor:NOAA.NOS.CO-OPS:8670870:C1,8670870
"Fernandina Beach, FL",,30.6714,-81.4658,urn:ioos:sensor:NOAA.NOS.CO-OPS:8720030:C1,8720030
urn:ioos:station:NOAA.NOS.CO-OPS:8720503,,29.9817,-81.6342,urn:ioos:sensor:NOAA.NOS.CO-OPS:8720503:C1,8720503
"Trident Pier, Port Canaveral, FL",,28.4158,-80.5931,urn:ioos:sensor:NOAA.NOS.CO-OPS:8721604:C1,8721604
"Lake Worth Pier, Atlantic Ocean, FL",,26.6128,-80.0342,urn:ioos:sensor:NOAA.NOS.CO-OPS:8722670:C1,8722670
"Key West, FL",,24.5558,-81.8078,urn:ioos:sensor:NOAA.NOS.CO-OPS:8724580:C1,8724580
"Fort Myers, Caloosahatchee River, FL",,26.6477,-81.8712,urn:ioos:sensor:NOAA.NOS.CO-OPS:8725520:C1,8725520
"Middle Tampa Bay, FL",,27.6618,-82.5995,urn:ioos:sensor:NOAA.NOS.CO-OPS:8726412:C1,8726412
"St. Petersburg, Tampa Bay, FL",,27.7606,-82.6269,urn:ioos:sensor:NOAA.NOS.CO-OPS:8726520:C1,8726520
"Old Port Tampa, FL",,27.8578,-82.5528,urn:ioos:sensor:NOAA.NOS.CO-OPS:8726607:C1,8726607
"East Bay Causeway, FL",,27.9289,-82.4257,urn:ioos:sensor:NOAA.NOS.CO-OPS:8726679:C1,8726679
"TPA Cruise Terminal 2, FL",,27.9333,-82.4333,urn:ioos:sensor:NOAA.NOS.CO-OPS:8726694:C1,8726694
"Arecibo, PR",,18.4805,-66.7024,urn:ioos:sensor:NOAA.NOS.CO-OPS:9757809:C1,9757809
"Barbuda, Antigua and Barbuda",,17.5908,-61.8206,urn:ioos:sensor:NOAA.NOS.CO-OPS:9761115:C1,9761115
